Player,Surface,Period,Matches,Wins,Losses,WinRate,Elo
Arruabarrena-Vecino L.,Hard,all,15,6,9,0.6,1522.0815408836718
Arruabarrena-Vecino L.,Hard,last_year,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Hard,last_month,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Carpet,all,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Carpet,last_year,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Carpet,last_month,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Clay,all,18,9,9,0.5,1486.0814729585054
Arruabarrena-Vecino L.,Clay,last_year,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Clay,last_month,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Grass,all,1,0,1,1.0,1486.2382256531523
Arruabarrena-Vecino L.,Grass,last_year,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Grass,last_month,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Greenset,all,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Greenset,last_year,0,0,0,0.0,1500.0
Arruabarrena-Vecino L.,Greenset,last_month,0,0,0,0.0,1500.0
Fita Boluda A.,Hard,all,0,0,0,0.0,1500.0
Fita Boluda A.,Hard,last_year,0,0,0,0.0,1500.0
Fita Boluda A.,Hard,last_month,0,0,0,0.0,1500.0
Fita Boluda A.,Carpet,all,0,0,0,0.0,1500.0
Fita Boluda A.,Carpet,last_year,0,0,0,0.0,1500.0
Fita Boluda A.,Carpet,last_month,0,0,0,0.0,1500.0
Fita Boluda A.,Clay,all,1,0,1,1.0,1480.3736312805092
Fita Boluda A.,Clay,last_year,0,0,0,0.0,1500.0
Fita Boluda A.,Clay,last_month,0,0,0,0.0,1500.0
Fita Boluda A.,Grass,all,0,0,0,0.0,1500.0
Fita Boluda A.,Grass,last_year,0,0,0,0.0,1500.0
Fita Boluda A.,Grass,last_month,0,0,0,0.0,1500.0
Fita Boluda A.,Greenset,all,0,0,0,0.0,1500.0
Fita Boluda A.,Greenset,last_year,0,0,0,0.0,1500.0
Fita Boluda A.,Greenset,last_month,0,0,0,0.0,1500.0
Bandecchi S.,Hard,all,0,0,0,0.0,1500.0
Bandecchi S.,Hard,last_year,0,0,0,0.0,1500.0
Bandecchi S.,Hard,last_month,0,0,0,0.0,1500.0
Bandecchi S.,Carpet,all,0,0,0,0.0,1500.0
Bandecchi S.,Carpet,last_year,0,0,0,0.0,1500.0
Bandecchi S.,Carpet,last_month,0,0,0,0.0,1500.0
Bandecchi S.,Clay,all,4,1,3,0.75,1529.0567825813807
Bandecchi S.,Clay,last_year,0,0,0,0.0,1500.0
Bandecchi S.,Clay,last_month,0,0,0,0.0,1500.0
Bandecchi S.,Grass,all,1,0,1,1.0,1484.0
Bandecchi S.,Grass,last_year,0,0,0,0.0,1500.0
Bandecchi S.,Grass,last_month,0,0,0,0.0,1500.0
Bandecchi S.,Greenset,all,0,0,0,0.0,1500.0
Bandecchi S.,Greenset,last_year,0,0,0,0.0,1500.0
Bandecchi S.,Greenset,last_month,0,0,0,0.0,1500.0
Bouzkova M.,Hard,all,152,81,71,0.46710526315789475,1500.099037482156
